"member_id","first_name","last_name","email","membership_type","date_joined","expiration_date","city","province_name"
405,"Sandra","Emeline","semeline0@spotify.com","Basic","2023-01-01","2024-01-01","St. John's","Newfoundland and Labrador"
406,"Quillan","Biggam","qbiggam1@homestead.com","Standard","2023-02-15","2023-08-15","St. John's","Newfoundland and Labrador"
407,"Egor","Esmond","eesmond2@loc.gov","Premium","2023-03-10","2024-03-10","St. John's","Newfoundland and Labrador"
408,"Cyb","Ashbey","cashbey3@t-online.de","Student","2023-04-01","2023-08-01","Mount Pearl","Newfoundland and Labrador"
409,"Cathrine","Petrolli","cpetrolli4@creativecommons.org","Senior","2023-05-20","2024-05-20","Corner Brook","Newfoundland and Labrador"
410,"Shina","Pinnigar","spinnigar5@springer.com","Basic","2023-06-01","2024-06-01","Grand Falls-Windsor","Newfoundland and Labrador"
411,"Rosalinda","Ruslinge","rruslinge6@51.la","Standard","2023-07-15","2024-01-15","Gander","Newfoundland and Labrador"
412,"Noelyn","Denes","ndenes7@craigslist.org","Premium","2023-08-10","2024-08-10","Grand Bank","Newfoundland and Labrador"
413,"Carolann","Stanbury","cstanbury8@dailymotion.com","Student","2023-09-01","2024-01-01","Happy Valley-Goose Bay","Newfoundland and Labrador"
414,"Reagan","Kennsley","rkennsley9@tinypic.com","Senior","2023-10-20","2024-10-20","Stephenville","Newfoundland and Labrador"
415,"Tucker","Matusiak","tmatusiaka@a8.net","Basic","2023-11-01","2024-11-01","St. John's","Newfoundland and Labrador"
416,"Erastus","Delgado","edelgadob@answers.com","Standard","2023-12-15","2024-06-15","Mount Pearl","Newfoundland and Labrador"
417,"Elyssa","Marsy","emarsyc@mayoclinic.com","Premium","2024-01-10","2025-01-10","St. John's","Newfoundland and Labrador"
418,"Dosi","Mobberley","dmobberleyd@google.ca","Student","2024-02-01","2024-06-01","St. John's","Newfoundland and Labrador"
419,"Lucila","Loud","lloude@quantcast.com","Senior","2024-03-20","2025-03-20","St. John's","Newfoundland and Labrador"
420,"Dyane","Bolus","dbolusf@unc.edu","Basic","2024-04-01","2025-04-01","Mount Pearl","Newfoundland and Labrador"
421,"Jourdan","Gerald","jgeraldg@mac.com","Standard","2024-05-15","2024-11-15","St. John's","Newfoundland and Labrador"
422,"Harcourt","Redley","hredleyh@zdnet.com","Premium","2024-06-10","2025-06-10","St. John's","Newfoundland and Labrador"
423,"Sigismond","Shambroke","sshambrokei@bbb.org","Student","2024-07-01","2024-11-01","St. John's","Newfoundland and Labrador"
424,"Sybil","Agglione","sagglionej@yellowpages.com","Senior","2024-08-20","2025-08-20","St. John's","Newfoundland and Labrador"
425,"Cosmo","Shirlaw","cshirlawk@cnbc.com","Basic","2024-09-01","2025-09-01","St. John's","Newfoundland and Labrador"
426,"Milo","Kaines","mkainesl@theglobeandmail.com","Standard","2024-10-15","2025-04-15","St. John's","Newfoundland and Labrador"
427,"Maximilian","Salsbury","msalsburym@homestead.com","Premium","2024-11-10","2025-11-10","St. John's","Newfoundland and Labrador"
428,"Jared","Dun","jdunn@de.vu","Student","2024-12-01","2025-04-01","St. John's","Newfoundland and Labrador"
429,"Rodney","Tocqueville","rtocquevilleo@netlog.com","Senior","2025-01-20","2026-01-20","Mount Pearl","Newfoundland and Labrador"
430,"Lesley","McLeoid","lmcleoidp@oakley.com","Basic","2025-02-01","2026-02-01","Carbonear","Newfoundland and Labrador"
431,"Tiphany","Mottershead","tmottersheadq@dedecms.com","Standard","2025-03-15","2025-09-15","Bay Roberts","Newfoundland and Labrador"
432,"Val","Ennor","vennorr@twitter.com","Premium","2025-04-10","2026-04-10","Torbay","Newfoundland and Labrador"
433,"Sada","Shavel","sshavels@free.fr","Student","2025-05-01","2025-09-01","Portugal Cove-St. Philip's","Newfoundland and Labrador"
434,"Moreen","Mees","mmeest@washington.edu","Senior","2025-06-20","2026-06-20","Logy Bay-Middle Cove-Outer Cove","Newfoundland and Labrador"
435,"Quintin","Lovelady","qloveladyu@chronoengine.com","Basic","2025-07-01","2026-07-01","Mount Pearl","Newfoundland and Labrador"
436,"Jobey","Leighfield","jleighfieldv@google.cn","Standard","2025-08-15","2026-02-15","Whitbourne","Newfoundland and Labrador"
437,"Morris","Piggford","mpiggfordw@odnoklassniki.ru","Premium","2025-09-10","2026-09-10","Dildo","Newfoundland and Labrador"
438,"Giorgi","Vigus","gvigusx@noaa.gov","Student","2025-10-01","2026-02-01","Glovertown","Newfoundland and Labrador"
439,"Jobye","Bankhurst","jbankhursty@so-net.ne.jp","Senior","2025-11-20","2026-11-20","Twillingate","Newfoundland and Labrador"
440,"Gloriane","Husband","ghusbandz@digg.com","Basic","2025-12-01","2026-12-01","Fogo","Newfoundland and Labrador"
441,"Emylee","Beric","eberic10@51.la","Standard","2026-01-15","2026-07-15","New-Wes-Valley","Newfoundland and Labrador"
442,"Danice","Pugh","dpugh11@multiply.com","Premium","2026-02-10","2027-02-10","St. John's","Newfoundland and Labrador"
443,"Elsinore","Teek","eteek12@msn.com","Student","2026-03-01","2026-07-01","Mount Pearl","Newfoundland and Labrador"
444,"Josee","Augie","jaugie13@flavors.me","Senior","2026-04-20","2027-04-20","Mount Pearl","Newfoundland and Labrador"
445,"Briano","Sorel","bsorel14@networkadvertising.org","Basic","2026-05-01","2027-05-01","St. John's","Newfoundland and Labrador"
446,"Austine","Jacquemy","ajacquemy15@cdc.gov","Standard","2026-06-15","2026-12-15","St. John's","Newfoundland and Labrador"
447,"Fairfax","Scrafton","fscrafton16@intel.com","Premium","2026-07-10","2027-07-10","Mount Pearl","Newfoundland and Labrador"
448,"Bobbee","Whawell","bwhawell17@reference.com","Student","2026-08-01","2026-12-01","St. John's","Newfoundland and Labrador"
449,"Laurie","Ussher","lussher18@nih.gov","Senior","2026-09-20","2027-09-20","St. John's","Newfoundland and Labrador"
450,"Hettie","Beddingham","hbeddingham19@example.com","Basic","2026-10-01","2027-10-01","St. John's","Newfoundland and Labrador"
451,"Fergus","Akester","fakester1a@usgs.gov","Standard","2026-11-15","2027-05-15","Mount Pearl","Newfoundland and Labrador"
452,"Flory","Libri","flibri1b@seesaa.net","Premium","2026-12-10","2027-12-10","Corner Brook","Newfoundland and Labrador"
453,"Quincey","Bortolussi","qbortolussi1c@google.com.hk","Student","2027-01-01","2027-05-01","Grand Falls-Windsor","Newfoundland and Labrador"
454,"Rudolph","Herrieven","rherrieven1d@hostgator.com","Senior","2027-02-20","2028-02-20","Gander","Newfoundland and Labrador"
455,"Butch","Brands","bbrands1e@yahoo.co.jp","Basic","2027-03-01","2028-03-01","St. John's","Newfoundland and Labrador"
456,"Cesaro","Hanhardt","chanhardt1f@jimdo.com","Standard","2027-04-15","2027-10-15","St. John's","Newfoundland and Labrador"
457,"Felicia","MacGhee","fmacghee1g@cloudflare.com","Premium","2027-05-10","2028-05-10","St. John's","Newfoundland and Labrador"
458,"Allin","Connor","aconnor1h@prlog.org","Student","2027-06-01","2027-10-01","St. John's","Newfoundland and Labrador"
459,"Patty","Kinkead","pkinkead1i@auda.org.au","Senior","2027-07-20","2028-07-20","St. John's","Newfoundland and Labrador"
460,"Munroe","Paule","mpaule1j@sun.com","Basic","2027-08-01","2028-08-01","St. John's","Newfoundland and Labrador"
461,"Lucille","Rawsthorne","lrawsthorne1k@loc.gov","Standard","2027-09-15","2028-03-15","St. John's","Newfoundland and Labrador"
462,"Jeanne","Matteini","jmatteini1l@chronoengine.com","Premium","2027-10-10","2028-10-10","St. John's","Newfoundland and Labrador"
463,"Noemi","Cripps","ncripps1m@gizmodo.com","Student","2027-11-01","2028-03-01","Mount Pearl","Newfoundland and Labrador"
464,"Si","Cudmore","scudmore1n@skype.com","Senior","2027-12-20","2028-12-20","St. John's","Newfoundland and Labrador"
465,"Esra","Vardon","evardon1o@disqus.com","Basic","2028-01-01","2029-01-01","St. John's","Newfoundland and Labrador"
466,"Vincenz","Mattheus","vmattheus1p@abc.net.au","Standard","2028-02-15","2028-08-15","St. John's","Newfoundland and Labrador"
467,"Moira","Sandhill","msandhill1q@mayoclinic.com","Premium","2028-03-10","2029-03-10","Mount Pearl","Newfoundland and Labrador"
468,"Misty","Pablos","mpablos1r@kickstarter.com","Student","2028-04-01","2028-08-01","St. John's","Newfoundland and Labrador"
469,"Shena","Gomersal","sgomersal1s@chron.com","Senior","2028-05-20","2029-05-20","St. John's","Newfoundland and Labrador"
470,"Josephina","Geere","jgeere1t@nationalgeographic.com","Basic","2028-06-01","2029-06-01","St. John's","Newfoundland and Labrador"
471,"Pepillo","Beaumont","pbeaumont1u@free.fr","Standard","2028-07-15","2029-01-15","St. John's","Newfoundland and Labrador"
472,"Hill","MacDowall","hmacdowall1v@deviantart.com","Premium","2028-08-10","2029-08-10","St. John's","Newfoundland and Labrador"
473,"Jerrold","Gogerty","jgogerty1w@wp.com","Student","2028-09-01","2028-12-01","St. John's","Newfoundland and Labrador"
474,"Georgy","Ambler","gambler1x@over-blog.com","Senior","2028-10-20","2029-10-20","St. John's","Newfoundland and Labrador"
475,"Waverley","Ankers","wankers1y@mozilla.org","Basic","2028-11-01","2029-11-01","St. John's","Newfoundland and Labrador"
476,"Ailene","Burghill","aburghill1z@google.es","Standard","2028-12-15","2029-06-15","Mount Pearl","Newfoundland and Labrador"
477,"Hercule","Spain-Gower","hspaingower20@t.co","Premium","2029-01-10","2030-01-10","Mount Pearl","Newfoundland and Labrador"
478,"Salvador","McGerr","smcgerr21@fema.gov","Student","2029-02-01","2029-06-01","St. John's","Newfoundland and Labrador"
479,"Leoline","Pellew","lpellew22@army.mil","Senior","2029-03-20","2030-03-20","St. John's","Newfoundland and Labrador"
480,"Gisela","Rankin","grankin23@indiegogo.com","Basic","2029-04-01","2030-04-01","St. John's","Newfoundland and Labrador"
481,"Viv","Gair","vgair24@biblegateway.com","Standard","2029-05-15","2029-11-15","Mount Pearl","Newfoundland and Labrador"
482,"Flora","Pickervance","fpickervance25@usda.gov","Premium","2029-06-10","2030-06-10","St. John's","Newfoundland and Labrador"
483,"Clark","Ivashintsov","civashintsov26@wufoo.com","Student","2029-07-01","2029-11-01","St. John's","Newfoundland and Labrador"
484,"Wilhelmine","Brussels","wbrussels27@cnet.com","Senior","2029-08-20","2030-08-20","St. John's","Newfoundland and Labrador"
485,"Poul","Rowcastle","prowcastle28@howstuffworks.com","Basic","2029-09-01","2030-09-01","St. John's","Newfoundland and Labrador"
486,"Tracie","Houlden","thoulden29@nsw.gov.au","Standard","2029-10-15","2030-04-15","St. John's","Newfoundland and Labrador"
487,"Currie","Dearth","cdearth2a@goo.ne.jp","Premium","2029-11-10","2030-11-10","St. John's","Newfoundland and Labrador"
488,"Debi","Meeke","dmeeke2b@plala.or.jp","Student","2029-12-01","2030-04-01","St. John's","Newfoundland and Labrador"
489,"Robinette","Walewicz","rwalewicz2c@apache.org","Senior","2030-01-20","2031-01-20","St. John's","Newfoundland and Labrador"
490,"Godfree","Keveren","gkeveren2d@google.cn","Basic","2030-02-01","2031-02-01","Mount Pearl","Newfoundland and Labrador"
491,"Halette","Redmire","hredmire2e@skyrock.com","Standard","2030-03-15","2030-09-15","Mount Pearl","Newfoundland and Labrador"
492,"Lurette","Chillingsworth","lchillingsworth2f@e-recht24.de","Premium","2030-04-10","2031-04-10","St. John's","Newfoundland and Labrador"
493,"Phelia","Steynor","psteynor2g@vistaprint.com","Student","2030-05-01","2030-09-01","St. John's","Newfoundland and Labrador"
494,"Bowie","Mc Dermid","bmcdermid2h@examiner.com","Senior","2030-06-20","2031-06-20","St. John's","Newfoundland and Labrador"
495,"Birgitta","Chalkly","bchalkly2i@flickr.com","Basic","2030-07-01","2031-07-01","Mount Pearl","Newfoundland and Labrador"
496,"Cornela","Simonnot","csimonnot2j@angelfire.com","Standard","2030-08-15","2031-02-15","St. John's","Newfoundland and Labrador"
497,"Oona","Creeber","ocreeber2k@prweb.com","Premium","2030-09-10","2031-09-10","St. John's","Newfoundland and Labrador"
498,"Julie","Tapner","jtapner2l@utexas.edu","Student","2030-10-01","2031-02-01","St. John's","Newfoundland and Labrador"
