"staff_id","first_name","last_name","email","city","province_name","salary_amount","certification_count"
701,"Sandra","Emeline","semeline0@spotify.com","Mount Pearl","Newfoundland and Labrador","30000.00","1"
702,"Quillan","Biggam","qbiggam1@homestead.com","Corner Brook","Newfoundland and Labrador","35000.00","1"
703,"Egor","Esmond","eesmond2@loc.gov","Grand Falls-Windsor","Newfoundland and Labrador","40000.00","1"
704,"Cyb","Ashbey","cashbey3@t-online.de","Gander","Newfoundland and Labrador","45000.00","1"
705,"Cathrine","Petrolli","cpetrolli4@creativecommons.org","Grand Bank","Newfoundland and Labrador","50000.00","1"
706,"Shina","Pinnigar","spinnigar5@springer.com","Happy Valley-Goose Bay","Newfoundland and Labrador","55000.00","0"
707,"Rosalinda","Ruslinge","rruslinge6@51.la","Stephenville","Newfoundland and Labrador","60000.00","0"
708,"Noelyn","Denes","ndenes7@craigslist.org","St. John's","Newfoundland and Labrador","65000.00","0"
709,"Carolann","Stanbury","cstanbury8@dailymotion.com","Mount Pearl","Newfoundland and Labrador","70000.00","0"
710,"Reagan","Kennsley","rkennsley9@tinypic.com","St. John's","Newfoundland and Labrador","75000.00","0"
711,"Tucker","Matusiak","tmatusiaka@a8.net","St. John's","Newfoundland and Labrador","30000.00","0"
712,"Erastus","Delgado","edelgadob@answers.com","St. John's","Newfoundland and Labrador","35000.00","0"
713,"Elyssa","Marsy","emarsyc@mayoclinic.com","Mount Pearl","Newfoundland and Labrador","40000.00","0"
714,"Dosi","Mobberley","dmobberleyd@google.ca","St. John's","Newfoundland and Labrador","45000.00","2"
715,"Lucila","Loud","lloude@quantcast.com","St. John's","Newfoundland and Labrador","50000.00","0"
716,"Dyane","Bolus","dbolusf@unc.edu","St. John's","Newfoundland and Labrador","55000.00","0"
717,"Jourdan","Gerald","jgeraldg@mac.com","St. John's","Newfoundland and Labrador","60000.00","0"
718,"Harcourt","Redley","hredleyh@zdnet.com","St. John's","Newfoundland and Labrador","65000.00","0"
719,"Sigismond","Shambroke","sshambrokei@bbb.org","St. John's","Newfoundland and Labrador","70000.00","0"
720,"Sybil","Agglione","sagglionej@yellowpages.com","St. John's","Newfoundland and Labrador","75000.00","0"
721,"Cosmo","Shirlaw","cshirlawk@cnbc.com","St. John's","Newfoundland and Labrador","30000.00","0"
722,"Milo","Kaines","mkainesl@theglobeandmail.com","Mount Pearl","Newfoundland and Labrador","35000.00","0"
723,"Maximilian","Salsbury","msalsburym@homestead.com","Carbonear","Newfoundland and Labrador","40000.00","0"
724,"Jared","Dun","jdunn@de.vu","Bay Roberts","Newfoundland and Labrador","45000.00","1"
725,"Rodney","Tocqueville","rtocquevilleo@netlog.com","Torbay","Newfoundland and Labrador","50000.00","2"
726,"Lesley","McLeoid","lmcleoidp@oakley.com","Portugal Cove-St. Philip's","Newfoundland and Labrador","55000.00","0"
727,"Tiphany","Mottershead","tmottersheadq@dedecms.com","Logy Bay-Middle Cove-Outer Cove","Newfoundland and Labrador","60000.00","0"
728,"Val","Ennor","vennorr@twitter.com","Mount Pearl","Newfoundland and Labrador","65000.00","0"
729,"Sada","Shavel","sshavels@free.fr","Whitbourne","Newfoundland and Labrador","70000.00","0"
730,"Moreen","Mees","mmeest@washington.edu","Dildo","Newfoundland and Labrador","75000.00","0"
731,"Quintin","Lovelady","qloveladyu@chronoengine.com","Glovertown","Newfoundland and Labrador","30000.00","1"
732,"Jobey","Leighfield","jleighfieldv@google.cn","Twillingate","Newfoundland and Labrador","35000.00","1"
733,"Morris","Piggford","mpiggfordw@odnoklassniki.ru","Fogo","Newfoundland and Labrador","40000.00","1"
734,"Giorgi","Vigus","gvigusx@noaa.gov","New-Wes-Valley","Newfoundland and Labrador","45000.00","0"
735,"Jobye","Bankhurst","jbankhursty@so-net.ne.jp","St. John's","Newfoundland and Labrador","50000.00","0"
736,"Gloriane","Husband","ghusbandz@digg.com","Mount Pearl","Newfoundland and Labrador","55000.00","0"
737,"Emylee","Beric","eberic10@51.la","Mount Pearl","Newfoundland and Labrador","60000.00","0"
738,"Danice","Pugh","dpugh11@multiply.com","St. John's","Newfoundland and Labrador","65000.00","0"
739,"Elsinore","Teek","eteek12@msn.com","St. John's","Newfoundland and Labrador","70000.00","0"
740,"Josee","Augie","jaugie13@flavors.me","Mount Pearl","Newfoundland and Labrador","75000.00","0"
741,"Briano","Sorel","bsorel14@networkadvertising.org","St. John's","Newfoundland and Labrador","30000.00","1"
742,"Austine","Jacquemy","ajacquemy15@cdc.gov","St. John's","Newfoundland and Labrador","35000.00","2"
743,"Fairfax","Scrafton","fscrafton16@intel.com","St. John's","Newfoundland and Labrador","40000.00","0"
744,"Bobbee","Whawell","bwhawell17@reference.com","Mount Pearl","Newfoundland and Labrador","45000.00","0"
745,"Laurie","Ussher","lussher18@nih.gov","Corner Brook","Newfoundland and Labrador","50000.00","1"
746,"Hettie","Beddingham","hbeddingham19@example.com","Grand Falls-Windsor","Newfoundland and Labrador","55000.00","0"
747,"Fergus","Akester","fakester1a@usgs.gov","Gander","Newfoundland and Labrador","60000.00","0"
748,"Flory","Libri","flibri1b@seesaa.net","St. John's","Newfoundland and Labrador","65000.00","0"
749,"Quincey","Bortolussi","qbortolussi1c@google.com.hk","St. John's","Newfoundland and Labrador","70000.00","0"
750,"Rudolph","Herrieven","rherrieven1d@hostgator.com","St. John's","Newfoundland and Labrador","75000.00","0"
